NU_INSCRICAO;NU_ANO;TP_SEXO;SG_UF_ESC;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
2,10061E+11;2023;M;GO;H;F;F;B;5;J;A;C;E;B;D;B;B;B;B;B;A;A;C;A;B;E;A;B;B
2,10059E+11;2023;M;GO;C;E;B;B;4;F;A;C;D;B;A;B;A;B;A;B;A;B;B;B;A;E;A;A;B
2,10061E+11;2023;M;GO;D;D;C;B;3;C;A;B;C;A;C;B;B;B;A;A;A;A;A;A;A;D;A;B;B
2,1006E+11;2023;M;GO;C;C;B;B;4;D;A;B;D;A;B;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,1006E+11;2023;F;GO;C;E;C;D;2;A;A;B;B;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B
2,1006E+11;2023;M;GO;H;E;B;B;4;C;C;C;C;A;C;C;A;B;A;A;A;A;B;A;A;E;A;B;B
2,1006E+11;2023;F;GO;E;D;C;B;5;E;A;C;D;B;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
2,1006E+11;2023;M;GO;E;E;B;B;4;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
2,10059E+11;2023;F;GO;B;E;C;C;4;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A
2,10061E+11;2023;F;GO;D;H;C;C;4;B;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;D;A;A;B
2,10061E+11;2023;F;GO;E;D;C;F;4;C;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;D;A;B;B
2,1006E+11;2023;F;GO;B;C;A;B;2;B;A;C;C;A;A;B;A;A;A;A;A;A;B;A;A;B;B;A;B
2,1006E+11;2023;M;GO;E;E;C;C;3;B;A;B;C;B;A;B;B;A;A;B;A;A;B;A;A;D;A;A;B
2,10059E+11;2023;M;GO;B;B;B;B;3;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;D;A;A;B
2,10059E+11;2023;F;GO;B;C;A;F;4;B;A;B;C;A;B;B;B;B;A;B;A;A;C;B;B;D;A;A;B
2,10059E+11;2023;M;GO;B;E;C;B;5;B;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B
2,10061E+11;2023;F;GO;B;C;F;B;3;B;A;B;D;A;A;B;A;B;A;A;A;A;A;A;A;D;A;B;B
2,10058E+11;2023;M;GO;D;E;B;B;3;E;A;B;C;B;A;C;C;B;A;B;A;B;C;B;A;D;A;C;B
2,10061E+11;2023;M;GO;C;D;F;F;5;D;A;B;C;A;A;B;A;A;A;A;A;B;B;B;A;D;A;A;B
2,1006E+11;2023;F;GO;C;E;D;D;4;C;A;C;C;B;A;B;B;B;A;B;A;A;B;A;A;E;A;B;B
2,10058E+11;2023;F;GO;B;D;C;B;5;E;A;C;D;B;B;B;A;B;A;B;A;A;B;A;A;C;A;B;B
2,1006E+11;2023;F;GO;E;E;B;C;4;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;C;A;A;A
2,10059E+11;2023;F;GO;F;G;B;B;3;C;A;B;C;B;C;B;A;B;A;A;A;A;B;A;A;A;A;A;B
2,10061E+11;2023;F;GO;G;F;D;B;4;I;A;C;D;B;C;B;B;B;A;B;A;B;C;B;A;E;B;C;B
2,10059E+11;2023;M;GO;B;B;B;B;2;A;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;A;A;B;B
2,10061E+11;2023;F;GO;E;C;D;F;5;D;A;B;D;B;A;B;B;B;A;B;A;A;B;A;A;E;A;A;B
2,10059E+11;2023;M;GO;E;E;B;B;4;B;A;B;B;A;A;B;B;B;A;A;A;A;B;A;A;C;A;A;B
2,1006E+11;2023;M;GO;D;G;C;D;4;D;A;C;D;B;A;B;B;B;A;B;A;A;C;A;A;E;A;A;B
2,10058E+11;2023;M;GO;D;D;E;B;3;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
2,10061E+11;2023;F;GO;B;B;C;B;5;D;A;B;C;A;B;B;B;B;A;B;A;A;B;A;A;E;A;A;B
2,10059E+11;2023;M;GO;C;E;C;B;5;D;A;B;D;A;A;B;A;A;A;B;A;A;B;A;A;E;A;B;B
2,10059E+11;2023;M;GO;C;C;C;D;5;C;A;B;D;B;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B
2,1006E+11;2023;M;GO;E;C;B;B;5;D;A;B;C;A;A;B;A;B;A;B;A;A;C;A;A;E;A;A;B
2,1006E+11;2023;M;GO;D;D;C;C;5;B;A;B;C;A;A;B;B;A;A;B;A;A;B;A;A;C;A;B;B
2,10059E+11;2023;M;GO;C;E;A;F;4;C;A;B;D;A;B;B;A;A;A;A;A;A;A;A;A;D;A;A;A
2,10059E+11;2023;M;GO;B;G;D;D;3;D;A;C;C;B;A;B;B;B;A;B;A;B;B;A;B;A;A;B;B
2,1006E+11;2023;M;GO;C;C;C;C;3;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;A
2,1006E+11;2023;F;GO;E;E;D;D;4;F;A;C;D;B;A;B;B;B;A;B;A;A;C;A;A;D;A;B;B
2,10059E+11;2023;F;GO;D;E;B;C;4;B;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,1006E+11;2023;F;GO;B;C;B;B;3;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,10058E+11;2023;F;GO;B;C;C;B;3;C;A;B;C;B;A;B;A;B;A;A;A;A;B;B;A;D;A;A;B
2,1006E+11;2023;F;GO;C;G;C;D;4;H;A;C;D;B;A;B;B;B;B;B;A;A;B;A;B;E;B;B;B
2,1006E+11;2023;F;GO;B;E;B;B;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10061E+11;2023;F;GO;E;D;C;B;4;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B
2,1006E+11;2023;F;GO;A;B;B;B;3;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B
